160	Лесото	5,28	5,10	4,85
161	Мальдивы	4,92	4,62	4,35
162	Барбадос	4,52	4,47	4,40
163	Либерия	3,69	3,62	3,28
164	Кабо-Верде	3,28	3,20	3,14
165	Гамбия	3,08	3,04	2,86
166	Белиз	2,94	2,81	2,72
167	Джибути	2,87	2,66	2,50
168	ЦАР	2,86	2,79	4,29
169	Гвинея-Бисау	2,50	2,40	2,36
170	Сейшельские Острова	2,41	2,30	2,13
171	Антигуа и Барбуда	1,99	1,92	1,86
172	Сент-Люсия	1,97	1,96	1,94
173	Сан-Марино	1,91	1,90	1,96
174	Гренада	1,27	1,23	1,19
175	Сент-Китс и Невис	1,26	1,16	1,10
176	Коморы	1,20	1,15	1,09
177	Сент-Винсент и Гренадины	1,18	1,16	1,11
178	Соломоновы Острова	1,09	1,06	1,01
179	Самоа	0,99	0,96	0,96
180	Доминика	0,76	0,75	0,74
181	Вануату	0,69	0,66	0,63
182	Сан-Томе и Принсипи	0,62	0,59	0,56
183	Тонга	0,50	0,48	0,48
184	Микронезия	0,31	0,31	0,32
185	Палау	0,29	0,26	0,26
186	Кирибати	0,19	0,18	0,17
187	Маршалловы Острова	0,18	0,18	0,17
188 Тувалу  0,04	0,03	0,03
